Player,Team,Position,Etichetta_Tattica
valentin castellanos,Lazio,A,Prima punta
albert gudmundsson,Genoa,A,Attaccante completo / Ala
andrea belotti,Fiorentina,A,Prima punta
tommaso baldanzi,Roma,A,Attaccante di manovra
stephan el shaarawy,Roma,A,Attaccante di manovra
emmanuel quartsin gyasi,Empoli,A,Attaccante di manovra
moise kean,Juventus,A,Attaccante di manovra
nicola sansone,Lecce,A,Attaccante di manovra
nicolas gonzalez,Fiorentina,A,Finalizzatore
nicolo cambiaghi,Empoli,A,Seconda punta
nikola krstovic,Lecce,A,Finalizzatore
eldor shomurodov,Cagliari,A,Attaccante di manovra
zito luvumbo,Cagliari,A,Seconda punta
victor osimhen,Napoli,A,Finalizzatore
francesco caputo,Empoli,A,Prima punta
milan djuric,Verona,A,Prima punta
federico bonazzoli,Verona,A,Prima punta
federico chiesa,Juventus,A,Attaccante completo / Ala
olivier giroud,AC Milan,A,Finalizzatore
dusan vlahovic,Juventus,A,Finalizzatore
duvan zapata,Torino,A,Finalizzatore
darko lazovic,Verona,A,Seconda punta
matias soule,Frosinone,A,Attaccante completo / Ala
matteo cancellieri,Empoli,A,Seconda punta
matteo politano,Napoli,A,Attaccante completo / Ala
patrick ciurria,Monza,A,Attaccante di manovra
paulo dybala,Roma,A,Attaccante completo / Ala
pedro rodriguez,Lazio,A,Attaccante di manovra
demba seck,Frosinone,A,Attaccante di manovra
nikola vlasic,Torino,A,Seconda punta
noah okafor,AC Milan,A,Prima punta
pietro pellegri,Torino,A,Attaccante di manovra
florian thauvin,Udinese,A,Seconda punta
marvin cuni,Frosinone,A,Attaccante di manovra
mateo retegui,Genoa,A,Prima punta
giacomo raspadori,Napoli,A,Seconda punta
pontus almqvist,Lecce,A,Seconda punta
rafael leao,AC Milan,A,Attaccante completo / Ala
dan ndoye,Bologna,A,Attaccante di manovra
dany mota,Monza,A,Seconda punta
m'bala nzola,Fiorentina,A,Seconda punta
gustav isaksen,Lazio,A,Attaccante di manovra
gianluca lapadula,Cagliari,A,Prima punta
chukwubuikem ikwuemesi,Salernitana,A,Attaccante di manovra
ciro immobile,Lazio,A,Prima punta
cristian volpato,Sassuolo,A,Attaccante di manovra
cyril ngonge,Napoli,A,Seconda punta
riccardo orsolini,Bologna,A,Attaccante completo / Ala
riccardo sottil,Fiorentina,A,Seconda punta
gianluca scamacca,Atalanta,A,Finalizzatore
marcus thuram,Inter,A,Finalizzatore
giovanni simeone,Napoli,A,Prima punta
marko arnautovic,Inter,A,Prima punta
lucas beltran,Fiorentina,A,Seconda punta
gregoire defrel,Sassuolo,A,Attaccante di manovra
charles de ketelaere,Atalanta,A,Attaccante completo / Ala
roberto piccoli,Lecce,A,Prima punta
romelu lukaku,Roma,A,Finalizzatore
samuel chukwueze,AC Milan,A,Seconda punta
samuel iling-junior,Juventus,A,Attaccante di manovra
christian kouame,Fiorentina,A,Attaccante di manovra
christian pulisic,AC Milan,A,Attaccante completo / Ala
luka jovic,AC Milan,A,Prima punta
lorenzo lucca,Udinese,A,Prima punta
isaac success,Udinese,A,Attaccante di manovra
jackson tchatchoua,Verona,A,Attaccante di manovra
sardar azmoun,Roma,A,Prima punta
caleb ekuban,Genoa,A,Prima punta
lameck banda,Lecce,A,Seconda punta
lautaro martinez,Inter,A,Finalizzatore
leonardo pavoletti,Cagliari,A,Prima punta
antonio sanabria,Torino,A,Prima punta
arkadiusz milik,Juventus,A,Prima punta
armand lauriente,Sassuolo,A,Seconda punta
